city,geo_location,working_age_population,employed_population,unemployed_population,employment_rate,avg_annual_income,median_annual_income
Mecca,"21.350557707193833, 39.79810004302089",3876,2533,1343,65.4,110602.81,39795.36
Mecca,"21.349100117273476, 39.80222617628592",2444,1936,508,79.2,73740.82,53740.66
Mecca,"21.350945884856657, 39.807373464616354",1623,1441,182,88.8,44369.64,99883.98
Mecca,"21.35156871827082, 39.808347755330516",1779,1669,110,93.8,48174.79,49839.3
Mecca,"21.349687687278742, 39.811452522211084",1138,925,213,81.3,72694.92,47423.75
Mecca,"21.348874551899215, 39.816688087819074",1156,766,390,66.3,71123.73,54597.3
Mecca,"21.348106143878738, 39.81879535060275",977,646,331,66.1,52105.94,36051.35
Mecca,"21.35059953775112, 39.82351309925574",2495,2342,153,93.9,63878.97,31551.95
Mecca,"21.348881762488165, 39.827023729402164",3924,2554,1370,65.1,73563.58,53222.98
Mecca,"21.351237721826713, 39.82802599503871",1413,1055,358,74.7,114915.01,92597.32
Mecca,"21.351223277007332, 39.834125890913285",3562,2438,1124,68.5,88469.82,63114.85
Mecca,"21.349361002066072, 39.83528858466591",1035,673,362,65.0,96541.97,37891.42
Mecca,"21.35182885228883, 39.839346378180444",831,757,74,91.1,65280.97,82382.84
Mecca,"21.34837098337352, 39.84172019884067",3606,3328,278,92.3,81738.03,32916.85
Mecca,"21.35138997746539, 39.847081570792135",3171,1905,1266,60.1,74300.63,35321.07
Mecca,"21.351228513093098, 39.85091892714677",1090,1024,66,94.0,42074.47,66578.5
Mecca,"21.35014491236582, 39.85522579638925",2369,1797,572,75.9,93493.26,44182.66
Mecca,"21.349514137508834, 39.85687482919175",1538,1445,93,94.0,66022.91,85701.86
Mecca,"21.351317618657013, 39.86047407900946",3152,2777,375,88.1,99620.46,94333.04
Mecca,"21.351446827601244, 39.863642741914354",868,712,156,82.0,66498.91,67080.76
Mecca,"21.35081828734486, 39.86484996420129",3806,3059,747,80.4,62172.1,35733.05
Mecca,"21.348911593102606, 39.86915755185441",2514,1799,715,71.6,104504.46,92746.91
Mecca,"21.348319167907697, 39.87226449687878",3182,2239,943,70.4,47348.82,37579.11
Mecca,"21.34840400571764, 39.87577856107911",2962,2012,950,68.0,47571.98,42364.63
Mecca,"21.350542737777058, 39.879459328715875",3599,2493,1106,69.3,98739.47,84888.49
Mecca,"21.349480723868467, 39.88217136145642",3372,3119,253,92.5,63128.0,37725.82
Mecca,"21.3490679112882, 39.88841328501751",900,584,316,65.0,37934.31,34817.68
Mecca,"21.35059214154099, 39.89043652402267",3973,3291,682,82.8,40507.43,79706.64
Mecca,"21.348684554592793, 39.894249840525134",3029,2352,677,77.7,101219.92,36896.84
Mecca,"21.34865360997505, 39.8961844884337",3285,2225,1060,67.7,59176.82,84228.26
Mecca,"21.351958093402548, 39.900559999039416",3763,2584,1179,68.7,118344.3,44215.79
Mecca,"21.353561132308435, 39.80073845700396",1775,1069,706,60.2,75969.48,84057.22
Mecca,"21.354704741014096, 39.80443733297951",3666,2587,1079,70.6,74564.29,90935.72
Mecca,"21.352249525621193, 39.80479506764228",811,650,161,80.2,80922.04,49726.58
Mecca,"21.352595145525573, 39.8090709635039",2461,2140,321,87.0,57401.49,61558.6
Mecca,"21.35217726470768, 39.815104972190674",2638,1613,1025,61.2,89974.57,36712.45
Mecca,"21.354838803839225, 39.81592537818986",2694,1626,1068,60.4,117165.84,48868.81
