city,geo_location,total_population,male_population,female_population,male_avg_age,female_avg_age,overall_avg_age,avg_household_size
Mecca,"21.350557707193833, 39.79810004302089",1284,599,685,31.6,34.1,33.0,4.4
Mecca,"21.349100117273476, 39.80222617628592",3728,1854,1874,31.7,28.6,30.1,3.0
Mecca,"21.350945884856657, 39.807373464616354",1315,614,701,40.2,25.2,32.2,3.2
Mecca,"21.35156871827082, 39.808347755330516",2940,1494,1446,34.8,30.0,32.4,2.7
Mecca,"21.349687687278742, 39.811452522211084",4354,1966,2388,38.6,30.8,34.3,3.0
Mecca,"21.348874551899215, 39.816688087819074",3060,1428,1632,27.9,26.9,27.4,3.1
Mecca,"21.348106143878738, 39.81879535060275",4015,1941,2074,34.8,32.0,33.4,3.6
Mecca,"21.35059953775112, 39.82351309925574",3717,1853,1864,32.3,25.3,28.8,3.2
Mecca,"21.348881762488165, 39.827023729402164",3908,1889,2019,35.4,38.3,36.9,4.2
Mecca,"21.351237721826713, 39.82802599503871",4455,2270,2185,27.3,38.7,32.9,4.0
Mecca,"21.351223277007332, 39.834125890913285",1084,503,581,33.2,29.4,31.2,4.5
Mecca,"21.349361002066072, 39.83528858466591",2463,1230,1233,29.9,39.8,34.9,4.4
Mecca,"21.35182885228883, 39.839346378180444",2472,1163,1309,26.8,43.4,35.6,3.3
Mecca,"21.34837098337352, 39.84172019884067",1442,788,654,42.5,38.6,40.7,4.3
Mecca,"21.35138997746539, 39.847081570792135",2840,1558,1282,42.5,28.5,36.2,4.3
Mecca,"21.351228513093098, 39.85091892714677",2428,1308,1120,32.8,33.3,33.1,4.5
Mecca,"21.35014491236582, 39.85522579638925",2266,1062,1204,36.6,39.0,37.9,4.2
Mecca,"21.349514137508834, 39.85687482919175",1503,741,762,34.1,44.4,39.3,4.1
Mecca,"21.351317618657013, 39.86047407900946",2181,1005,1176,25.2,43.5,35.1,2.8
Mecca,"21.351446827601244, 39.863642741914354",3789,1761,2028,44.3,37.5,40.7,3.8
Mecca,"21.35081828734486, 39.86484996420129",2243,1118,1125,26.3,30.9,28.6,3.4
Mecca,"21.348911593102606, 39.86915755185441",1890,903,987,36.9,26.1,31.2,3.1
Mecca,"21.348319167907697, 39.87226449687878",2762,1340,1422,41.7,26.0,33.6,2.8
Mecca,"21.34840400571764, 39.87577856107911",4599,2199,2400,42.2,38.3,40.2,4.0
Mecca,"21.350542737777058, 39.879459328715875",1635,891,744,39.3,27.9,34.1,4.0
Mecca,"21.349480723868467, 39.88217136145642",2769,1408,1361,26.6,29.4,28.0,3.4
Mecca,"21.3490679112882, 39.88841328501751",2452,1164,1288,38.6,32.7,35.5,3.3
Mecca,"21.35059214154099, 39.89043652402267",4703,2162,2541,30.2,31.0,30.7,3.1
Mecca,"21.348684554592793, 39.894249840525134",3309,1633,1676,42.5,41.1,41.8,2.8
Mecca,"21.34865360997505, 39.8961844884337",4144,1947,2197,27.7,36.1,32.2,3.1
Mecca,"21.351958093402548, 39.900559999039416",1350,647,703,43.5,34.2,38.7,2.9
Mecca,"21.353561132308435, 39.80073845700396",4204,2260,1944,33.7,27.8,31.0,3.4
Mecca,"21.354704741014096, 39.80443733297951",2283,1142,1141,38.7,32.2,35.4,3.2
Mecca,"21.352249525621193, 39.80479506764228",2910,1431,1479,33.2,25.6,29.3,3.6
Mecca,"21.352595145525573, 39.8090709635039",4921,2591,2330,26.8,27.8,27.3,4.3
Mecca,"21.35217726470768, 39.815104972190674",4222,2002,2220,35.2,27.5,31.2,3.6
Mecca,"21.354838803839225, 39.81592537818986",3316,1783,1533,26.1,41.9,33.4,2.8
Mecca,"21.353955087994514, 39.81958252760424",3744,1687,2057,41.1,42.5,41.9,3.4
Mecca,"21.3549915236923, 39.82316874074368",1222,560,662,30.4,44.7,38.2,2.7
Mecca,"21.352392853999326, 39.825653176697436",3434,1578,1856,30.8,34.6,32.9,3.2
Mecca,"21.353578805869986, 39.82905096643409",1249,577,672,36.7,35.2,35.9,3.9
Mecca,"21.35367167729423, 39.83492462486774",3873,1822,2051,27.9,39.8,34.2,3.5
Mecca,"21.352930935353896, 39.83554394970329",1915,1033,882,37.8,28.1,33.3,3.8
Mecca,"21.355323483759317, 39.8400381051747",3945,2165,1780,25.1,34.7,29.4,3.9
Mecca,"21.35169697098203, 39.84152179883503",1469,670,799,28.1,42.6,36.0,3.5
Mecca,"21.35177192985474, 39.84717645083347",2012,946,1066,34.5,41.7,38.3,3.4
Mecca,"21.354501650790787, 39.849688639867196",1227,665,562,31.0,34.7,32.7,2.9
Mecca,"21.351587444157943, 39.85285981047936",1962,1048,914,35.9,41.4,38.5,3.9
Mecca,"21.355317818854296, 39.856783124047055",4519,2330,2189,27.5,27.9,27.7,2.5
Mecca,"21.35521764684379, 39.861443118808936",1580,840,740,38.1,28.4,33.6,4.0
Mecca,"21.351379257421108, 39.86421622061077",3239,1522,1717,34.6,30.8,32.6,2.7
Mecca,"21.35406017480944, 39.866814547988305",3411,1703,1708,38.4,32.8,35.6,3.9
Mecca,"21.352400634093147, 39.87056384719432",1439,714,725,41.3,28.0,34.6,3.1
Mecca,"21.351779542027717, 39.87307239433601",1492,755,737,25.2,31.1,28.1,3.8
Mecca,"21.353148228158652, 39.87848193037675",4658,2402,2256,33.9,43.2,38.4,3.2
Mecca,"21.354836745094847, 39.879053556203",1570,779,791,39.5,30.5,35.0,4.5
Mecca,"21.353335677785537, 39.88204794085545",2465,1232,1233,42.2,29.2,35.7,4.3
Mecca,"21.354983844690715, 39.88814874094601",3150,1540,1610,26.3,38.1,32.3,3.2
Mecca,"21.35252711249913, 39.89055579797947",3945,1997,1948,34.2,42.2,38.1,2.8
Mecca,"21.35376921417909, 39.89194469040753",4215,2218,1997,31.1,32.9,31.9,4.3
Mecca,"21.354383376533637, 39.89682418278715",3642,1815,1827,44.3,37.1,40.7,2.9
Mecca,"21.354447839247857, 39.900121414688776",3902,2117,1785,40.5,35.5,38.2,2.8
Mecca,"21.35466895425118, 39.79929662422801",2327,1184,1143,36.6,36.7,36.7,4.2
