city,geo_location,total_housing_units,avg_rooms,avg_bathrooms,avg_square_footage,avg_year_built,ownership_rate,occupancy_rate
Mecca,"21.350557707193833, 39.79810004302089",388,4.8,1.6,1788,2006,49.7,88.3
Mecca,"21.349100117273476, 39.80222617628592",1487,5.5,2.5,893,1991,59.2,97.4
Mecca,"21.350945884856657, 39.807373464616354",1331,3.9,2.3,1435,1991,52.1,87.1
Mecca,"21.35156871827082, 39.808347755330516",679,5.5,2.2,1688,1989,54.6,90.7
Mecca,"21.349687687278742, 39.811452522211084",900,3.9,1.7,1098,1990,40.9,92.8
Mecca,"21.348874551899215, 39.816688087819074",599,5.4,1.7,1493,1988,64.4,86.8
Mecca,"21.348106143878738, 39.81879535060275",683,5.3,1.8,1521,1972,78.4,89.6
Mecca,"21.35059953775112, 39.82351309925574",690,4.5,1.7,1267,1992,43.0,88.7
Mecca,"21.348881762488165, 39.827023729402164",344,5.2,2.6,1930,1988,59.9,93.1
Mecca,"21.351237721826713, 39.82802599503871",546,3.5,1.6,1802,1991,68.4,87.8
Mecca,"21.351223277007332, 39.834125890913285",600,5.3,3.0,2364,1984,54.0,87.8
Mecca,"21.349361002066072, 39.83528858466591",1256,3.6,1.9,1621,1989,57.3,85.8
Mecca,"21.35182885228883, 39.839346378180444",1189,4.0,2.3,1666,1988,72.2,97.9
Mecca,"21.34837098337352, 39.84172019884067",914,5.8,2.4,1460,2009,64.9,97.8
Mecca,"21.35138997746539, 39.847081570792135",1007,5.0,2.8,1769,1979,41.1,88.2
Mecca,"21.351228513093098, 39.85091892714677",1306,5.3,2.9,2499,2007,76.8,93.7
Mecca,"21.35014491236582, 39.85522579638925",938,4.9,1.7,1763,2004,48.0,91.9
Mecca,"21.349514137508834, 39.85687482919175",1139,3.3,1.5,1333,1983,43.1,97.1
Mecca,"21.351317618657013, 39.86047407900946",1010,5.8,2.0,2166,1972,77.2,95.5
Mecca,"21.351446827601244, 39.863642741914354",1416,3.4,2.3,2152,1994,55.2,86.4
Mecca,"21.35081828734486, 39.86484996420129",1062,4.7,2.4,909,1973,60.1,95.8
Mecca,"21.348911593102606, 39.86915755185441",1234,5.7,2.7,2040,2005,60.3,93.3
Mecca,"21.348319167907697, 39.87226449687878",1029,5.3,1.8,2284,1977,55.6,89.9
Mecca,"21.34840400571764, 39.87577856107911",441,5.3,2.1,2106,1989,64.4,89.5
Mecca,"21.350542737777058, 39.879459328715875",805,4.0,1.7,1489,1992,45.0,97.2
Mecca,"21.349480723868467, 39.88217136145642",437,4.8,2.8,2008,1973,69.4,94.0
Mecca,"21.3490679112882, 39.88841328501751",806,3.5,2.6,855,2003,59.0,88.2
Mecca,"21.35059214154099, 39.89043652402267",996,5.9,2.0,2214,1975,47.2,95.6
Mecca,"21.348684554592793, 39.894249840525134",715,5.6,2.3,1758,2003,42.5,90.3
Mecca,"21.34865360997505, 39.8961844884337",814,5.9,1.8,2450,1973,45.5,97.3
Mecca,"21.351958093402548, 39.900559999039416",417,4.9,1.9,2476,1978,72.5,95.3
Mecca,"21.353561132308435, 39.80073845700396",1375,5.1,2.6,2042,2005,66.1,92.4
Mecca,"21.354704741014096, 39.80443733297951",1313,4.6,2.8,1395,1997,52.0,88.8
Mecca,"21.352249525621193, 39.80479506764228",688,3.3,1.7,2453,1976,51.7,90.8
Mecca,"21.352595145525573, 39.8090709635039",1482,4.7,1.8,2199,1979,66.1,95.4
Mecca,"21.35217726470768, 39.815104972190674",1000,3.8,1.5,2327,1986,70.0,91.3
Mecca,"21.354838803839225, 39.81592537818986",1439,5.5,2.1,1021,1993,47.7,92.1
Mecca,"21.353955087994514, 39.81958252760424",526,3.6,1.9,1366,2007,49.4,93.0
Mecca,"21.3549915236923, 39.82316874074368",1432,5.0,2.7,2212,2001,72.7,90.7
Mecca,"21.352392853999326, 39.825653176697436",1389,5.6,2.6,1389,2010,51.1,92.0
Mecca,"21.353578805869986, 39.82905096643409",410,3.5,1.7,2024,2009,67.4,86.7
Mecca,"21.35367167729423, 39.83492462486774",1434,6.0,2.1,1537,1989,53.4,90.8
Mecca,"21.352930935353896, 39.83554394970329",693,5.3,2.6,1282,2006,54.0,97.2
Mecca,"21.355323483759317, 39.8400381051747",378,4.2,2.2,1889,1973,73.4,96.1
Mecca,"21.35169697098203, 39.84152179883503",1440,3.6,2.1,2030,1982,73.4,91.4
Mecca,"21.35177192985474, 39.84717645083347",339,5.0,2.3,1084,1988,69.1,89.5
Mecca,"21.354501650790787, 39.849688639867196",852,3.6,1.8,2472,1984,67.5,92.4
Mecca,"21.351587444157943, 39.85285981047936",1234,3.4,2.0,1687,1991,78.6,95.9
Mecca,"21.355317818854296, 39.856783124047055",696,3.5,2.8,2243,2005,48.8,85.3
Mecca,"21.35521764684379, 39.861443118808936",672,4.3,2.2,1907,1996,40.3,88.0
Mecca,"21.351379257421108, 39.86421622061077",821,4.5,1.7,2377,2005,53.6,96.5
Mecca,"21.35406017480944, 39.866814547988305",1305,5.2,1.7,1110,1973,67.3,93.1
Mecca,"21.352400634093147, 39.87056384719432",628,5.9,2.9,857,1982,65.4,87.8
Mecca,"21.351779542027717, 39.87307239433601",875,3.4,2.9,880,1979,73.1,91.2
Mecca,"21.353148228158652, 39.87848193037675",731,4.7,2.1,2106,1978,73.4,95.3
Mecca,"21.354836745094847, 39.879053556203",556,3.3,2.5,1499,1992,56.1,90.4
Mecca,"21.353335677785537, 39.88204794085545",873,4.9,1.8,2281,1990,69.2,97.0
Mecca,"21.354983844690715, 39.88814874094601",445,4.8,2.2,1981,1983,67.8,95.9
Mecca,"21.35252711249913, 39.89055579797947",934,3.9,2.0,1345,1998,63.9,91.5
Mecca,"21.35376921417909, 39.89194469040753",688,4.5,2.0,1330,2006,61.7,86.2
Mecca,"21.354383376533637, 39.89682418278715",1413,4.6,2.1,1476,1987,49.2,95.6
Mecca,"21.354447839247857, 39.900121414688776",678,5.4,2.7,1825,1974,50.4,86.5
Mecca,"21.35466895425118, 39.79929662422801",1345,3.5,2.4,1589,1970,54.2,97.8
Mecca,"21.35474457363621, 39.805049727798384",1475,3.3,2.9,2384,1980,41.3,96.3
Mecca,"21.35818155417796, 39.80799332878411",1060,4.9,3.0,1474,1974,47.3,98.0
Mecca,"21.35589672316828, 39.80823170066597",1288,5.1,2.7,2022,2009,75.7,91.0
Mecca,"21.358178705063484, 39.81512113111452",762,4.0,1.8,1222,2007,56.5,95.7
Mecca,"21.355009280474942, 39.81661062851993",742,3.7,2.5,1353,2004,44.3,94.0
Mecca,"21.354943516740544, 39.82104240866103",614,3.5,2.9,1163,1972,72.9,88.9
Mecca,"21.357730004383896, 39.82184689919133",1121,3.1,2.4,1561,2009,72.8,93.7
Mecca,"21.356567796179064, 39.82686588104064",1186,3.3,1.9,2356,1997,49.2,97.0
Mecca,"21.35572689318243, 39.83148973216434",828,3.3,2.1,2158,2004,63.3,94.6
Mecca,"21.35635921842747, 39.8321805261551",719,4.5,1.7,1943,2004,44.0,88.7
Mecca,"21.356823851021787, 39.837586390943024",758,5.8,2.9,2081,1996,66.3,93.0
Mecca,"21.355471270920226, 39.8392468651652",1363,5.8,1.6,2047,1998,67.5,91.7
Mecca,"21.358647264093314, 39.84393284556389",1216,5.1,2.8,1248,2003,61.0,90.7
