city,geo_location,primary_language,primary_language_percentage,secondary_language,secondary_language_percentage,avg_years_education,most_common_education,bachelor_or_higher_percentage
Mecca,"21.350557707193833, 39.79810004302089",English,51.2,French,22.4,13.1,Master,68.1
Mecca,"21.349100117273476, 39.80222617628592",English,60.9,French,31.1,13.1,Master,75.4
Mecca,"21.350945884856657, 39.807373464616354",Arabic,37.7,Mandarin,24.3,13.6,High School,53.7
Mecca,"21.35156871827082, 39.808347755330516",Mandarin,44.7,Spanish,39.5,14.2,High School,42.0
Mecca,"21.349687687278742, 39.811452522211084",Spanish,67.6,English,19.3,14.8,High School,59.5
Mecca,"21.348874551899215, 39.816688087819074",Arabic,31.9,French,25.6,17.5,High School,10.8
Mecca,"21.348106143878738, 39.81879535060275",French,52.8,Arabic,14.7,13.1,Associate Degree,26.6
Mecca,"21.35059953775112, 39.82351309925574",Spanish,36.5,Arabic,32.0,15.9,Bachelor,58.3
Mecca,"21.348881762488165, 39.827023729402164",Arabic,52.3,English,25.7,13.9,PhD,81.4
Mecca,"21.351237721826713, 39.82802599503871",Mandarin,28.9,French,28.0,15.4,Bachelor,62.5
Mecca,"21.351223277007332, 39.834125890913285",Mandarin,52.8,English,22.4,14.2,Master,85.7
Mecca,"21.349361002066072, 39.83528858466591",French,45.6,Spanish,28.3,17.4,PhD,59.0
Mecca,"21.35182885228883, 39.839346378180444",English,48.5,Arabic,35.3,15.4,Master,74.3
Mecca,"21.34837098337352, 39.84172019884067",Mandarin,68.3,Arabic,12.9,12.9,Associate Degree,37.7
Mecca,"21.35138997746539, 39.847081570792135",Arabic,66.3,French,13.9,12.4,Bachelor,82.3
Mecca,"21.351228513093098, 39.85091892714677",Mandarin,54.9,Arabic,30.9,14.9,Master,64.1
Mecca,"21.35014491236582, 39.85522579638925",French,30.2,English,30.1,17.2,High School,19.1
Mecca,"21.349514137508834, 39.85687482919175",Arabic,35.8,Mandarin,32.8,13.9,PhD,92.9
Mecca,"21.351317618657013, 39.86047407900946",French,46.8,Spanish,38.0,15.6,Bachelor,70.7
Mecca,"21.351446827601244, 39.863642741914354",French,37.8,English,37.3,15.7,Master,74.7
Mecca,"21.35081828734486, 39.86484996420129",Spanish,50.7,Arabic,22.8,14.8,Master,86.7
Mecca,"21.348911593102606, 39.86915755185441",Mandarin,27.5,English,26.0,14.4,Associate Degree,56.5
Mecca,"21.348319167907697, 39.87226449687878",Arabic,38.6,English,30.3,13.9,Bachelor,83.2
Mecca,"21.34840400571764, 39.87577856107911",Arabic,39.2,French,21.3,13.0,High School,48.5
Mecca,"21.350542737777058, 39.879459328715875",English,34.8,Arabic,31.9,17.1,Master,61.5
Mecca,"21.349480723868467, 39.88217136145642",French,57.6,English,14.7,16.9,Bachelor,83.9
Mecca,"21.3490679112882, 39.88841328501751",English,54.0,Mandarin,24.6,16.0,High School,62.7
Mecca,"21.35059214154099, 39.89043652402267",Spanish,28.8,French,23.7,15.7,Bachelor,62.8
Mecca,"21.348684554592793, 39.894249840525134",Arabic,54.5,Mandarin,21.3,14.0,Associate Degree,65.2
Mecca,"21.34865360997505, 39.8961844884337",French,72.6,Spanish,18.8,14.6,Bachelor,76.5
Mecca,"21.351958093402548, 39.900559999039416",Mandarin,33.2,Spanish,26.0,15.2,High School,40.1
Mecca,"21.353561132308435, 39.80073845700396",Spanish,56.9,Mandarin,31.3,14.6,High School,37.5
Mecca,"21.354704741014096, 39.80443733297951",Mandarin,47.3,English,19.1,14.4,High School,58.6
Mecca,"21.352249525621193, 39.80479506764228",English,69.4,Arabic,21.5,14.1,Bachelor,96.3
Mecca,"21.352595145525573, 39.8090709635039",Arabic,26.2,English,24.8,14.7,Bachelor,44.0
Mecca,"21.35217726470768, 39.815104972190674",English,48.9,French,27.1,13.3,PhD,66.4
Mecca,"21.354838803839225, 39.81592537818986",Mandarin,49.3,English,17.9,16.4,Bachelor,91.2
Mecca,"21.353955087994514, 39.81958252760424",Spanish,79.4,Arabic,7.3,12.5,Bachelor,83.3
Mecca,"21.3549915236923, 39.82316874074368",Spanish,36.6,Mandarin,23.1,12.8,Associate Degree,36.9
Mecca,"21.352392853999326, 39.825653176697436",Arabic,61.5,Spanish,19.8,12.4,High School,48.9
Mecca,"21.353578805869986, 39.82905096643409",English,44.1,Spanish,33.2,13.3,PhD,54.9
Mecca,"21.35367167729423, 39.83492462486774",French,36.5,English,36.4,16.6,Associate Degree,48.3
Mecca,"21.352930935353896, 39.83554394970329",Arabic,39.6,English,39.3,16.2,Master,77.6
Mecca,"21.355323483759317, 39.8400381051747",English,52.2,French,35.1,15.1,Master,70.1
Mecca,"21.35169697098203, 39.84152179883503",English,61.5,Mandarin,23.9,14.1,Bachelor,67.0
Mecca,"21.35177192985474, 39.84717645083347",Spanish,44.2,Arabic,28.0,13.3,High School,46.6
Mecca,"21.354501650790787, 39.849688639867196",Mandarin,48.9,French,20.5,16.7,Associate Degree,41.0
Mecca,"21.351587444157943, 39.85285981047936",English,53.7,Spanish,34.0,16.7,High School,43.4
Mecca,"21.355317818854296, 39.856783124047055",English,25.6,Arabic,21.3,13.1,PhD,42.8
Mecca,"21.35521764684379, 39.861443118808936",English,35.4,Mandarin,22.8,13.8,Associate Degree,49.5
Mecca,"21.351379257421108, 39.86421622061077",Spanish,32.5,Arabic,23.2,16.4,PhD,82.9
Mecca,"21.35406017480944, 39.866814547988305",French,43.2,Spanish,32.2,13.3,PhD,97.2
Mecca,"21.352400634093147, 39.87056384719432",French,41.0,Spanish,21.6,16.8,Associate Degree,25.8
Mecca,"21.351779542027717, 39.87307239433601",English,45.9,French,32.0,13.7,High School,47.8
Mecca,"21.353148228158652, 39.87848193037675",Arabic,48.5,Spanish,17.5,16.7,Associate Degree,50.6
Mecca,"21.354836745094847, 39.879053556203",Mandarin,32.9,English,30.0,14.0,PhD,51.6
Mecca,"21.353335677785537, 39.88204794085545",Arabic,59.4,Mandarin,21.1,16.7,PhD,72.1
Mecca,"21.354983844690715, 39.88814874094601",Mandarin,34.7,English,26.8,13.7,High School,51.2
