Location,Selector,Degree,HouseholdAverageSize,HouseholdMedianSize,ZoomLevel,TopLeftDegree,BottomRightDegree,ID,Parent
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(241),39.862 21.408 Degrees,3.9,3,9,39.860 21.409 Degrees,39.864 21.406 Degrees,Makkah-241-9,Makkah-572-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(14),39.776 21.441 Degrees,3.4,3,9,39.774 21.443 Degrees,39.778 21.440 Degrees,Makkah-14-9,Makkah-174-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(6),39.780 21.431 Degrees,3.9,3,9,39.778 21.433 Degrees,39.781 21.429 Degrees,Makkah-6-9,Makkah-134-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(7),39.787 21.441 Degrees,3.6,3,9,39.785 21.443 Degrees,39.789 21.440 Degrees,Makkah-7-9,Makkah-145-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(8),39.787 21.435 Degrees,3.6,3,9,39.785 21.436 Degrees,39.789 21.433 Degrees,Makkah-8-9,Makkah-152-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(9),39.780 21.438 Degrees,4.2,4,9,39.778 21.440 Degrees,39.781 21.436 Degrees,Makkah-9-9,Makkah-153-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(10),39.783 21.438 Degrees,3.9,3,9,39.781 21.440 Degrees,39.785 21.436 Degrees,Makkah-10-9,Makkah-155-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(11),39.794 21.441 Degrees,3.4,3,9,39.792 21.443 Degrees,39.796 21.440 Degrees,Makkah-11-9,Makkah-170-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(12),39.794 21.438 Degrees,2.8,2,9,39.792 21.440 Degrees,39.796 21.436 Degrees,Makkah-12-9,Makkah-172-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(13),39.790 21.438 Degrees,3.4,3,9,39.789 21.440 Degrees,39.792 21.436 Degrees,Makkah-13-9,Makkah-173-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(15),39.787 21.431 Degrees,3.6,3,9,39.785 21.433 Degrees,39.789 21.429 Degrees,Makkah-15-9,Makkah-177-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(4),39.794 21.431 Degrees,3.6,3,9,39.792 21.433 Degrees,39.796 21.429 Degrees,Makkah-4-9,Makkah-132-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(16),39.790 21.435 Degrees,3.2,3,9,39.789 21.436 Degrees,39.792 21.433 Degrees,Makkah-16-9,Makkah-184-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(17),39.780 21.435 Degrees,3.4,3,9,39.778 21.436 Degrees,39.781 21.433 Degrees,Makkah-17-9,Makkah-195-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(18),39.790 21.431 Degrees,3.3,3,9,39.789 21.433 Degrees,39.792 21.429 Degrees,Makkah-18-9,Makkah-202-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(19),39.780 21.441 Degrees,3.9,3,9,39.778 21.443 Degrees,39.781 21.440 Degrees,Makkah-19-9,Makkah-218-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(20),39.776 21.438 Degrees,3.9,3,9,39.774 21.440 Degrees,39.778 21.436 Degrees,Makkah-20-9,Makkah-220-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(21),39.783 21.431 Degrees,3.7,3,9,39.781 21.433 Degrees,39.785 21.429 Degrees,Makkah-21-9,Makkah-231-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(22),39.790 21.441 Degrees,3.5,3,9,39.789 21.443 Degrees,39.792 21.440 Degrees,Makkah-22-9,Makkah-243-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(23),39.783 21.435 Degrees,4.3,4,9,39.781 21.436 Degrees,39.785 21.433 Degrees,Makkah-23-9,Makkah-253-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(5),39.783 21.441 Degrees,4.3,4,9,39.781 21.443 Degrees,39.785 21.440 Degrees,Makkah-5-9,Makkah-133-8
Makkah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(3),39.787 21.438 Degrees,3.5,3,9,39.785 21.440 Degrees,39.789 21.436 Degrees,Makkah-3-9,Makkah-115-8
Jeddah,#1851fd1be6e-layer-2_layer > g:nth-child(1) > path:nth-child(19),39.194 21.505 Degrees,2.0,1,9,39.192 21.506 Degrees,39.196 21.503 Degrees,Jeddah-19-9,Jeddah-163-8
