Location,Selector,Degree,Household Average Size,Household Median Size,Zoom Level,Top Left Degree,Bottom Right Degree,id
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(1),39.102 21.944 Degrees,3.2,3,6,39.099 21.947 Degrees,39.106 21.941 Degrees,1
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(2),39.124 21.944 Degrees,3.3,3,6,39.120 21.947 Degrees,39.127 21.941 Degrees,2
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(3),39.117 21.944 Degrees,4.7,4,6,39.113 21.947 Degrees,39.120 21.941 Degrees,3
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(4),39.109 21.944 Degrees,4.4,2,6,39.106 21.947 Degrees,39.113 21.941 Degrees,4
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(5),38.966 21.957 Degrees,4.5,5,6,38.962 21.961 Degrees,38.969 21.954 Degrees,5
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(6),39.303 21.944 Degrees,3.5,3,6,39.300 21.947 Degrees,39.307 21.941 Degrees,6
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(7),39.361 21.944 Degrees,2.8,2,6,39.357 21.947 Degrees,39.364 21.941 Degrees,7
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(8),39.296 21.944 Degrees,2.3,1,6,39.293 21.947 Degrees,39.300 21.941 Degrees,8
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(9),39.296 21.951 Degrees,2.8,1,6,39.293 21.954 Degrees,39.300 21.947 Degrees,9
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(10),39.253 21.944 Degrees,3.6,1,6,39.249 21.947 Degrees,39.257 21.941 Degrees,10
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(11),39.368 21.964 Degrees,3.8,3,6,39.364 21.967 Degrees,39.372 21.961 Degrees,11
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(12),39.375 21.964 Degrees,3.5,3,6,39.372 21.967 Degrees,39.379 21.961 Degrees,12
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(13),39.282 21.951 Degrees,4.4,5,6,39.278 21.954 Degrees,39.285 21.947 Degrees,13
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(14),39.282 21.944 Degrees,2.8,1,6,39.278 21.947 Degrees,39.285 21.941 Degrees,14
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(15),39.275 21.944 Degrees,3.7,3,6,39.271 21.947 Degrees,39.278 21.941 Degrees,15
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(16),39.311 21.944 Degrees,3.8,3,6,39.307 21.947 Degrees,39.314 21.941 Degrees,16
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(17),39.275 21.951 Degrees,4.1,4,6,39.271 21.954 Degrees,39.278 21.947 Degrees,17
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(18),39.311 21.951 Degrees,4.4,5,6,39.307 21.954 Degrees,39.314 21.947 Degrees,18
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(19),39.461 21.964 Degrees,3.6,2,6,39.458 21.967 Degrees,39.465 21.961 Degrees,19
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(20),39.454 21.964 Degrees,4.4,4,6,39.451 21.967 Degrees,39.458 21.961 Degrees,20
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(21),39.490 21.957 Degrees,4.7,5,6,39.487 21.961 Degrees,39.494 21.954 Degrees,21
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(22),39.382 21.957 Degrees,3.5,2,6,39.379 21.961 Degrees,39.386 21.954 Degrees,22
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(23),39.390 21.964 Degrees,2.9,2,6,39.386 21.967 Degrees,39.393 21.961 Degrees,23
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(24),39.490 21.951 Degrees,4.0,4,6,39.487 21.954 Degrees,39.494 21.947 Degrees,24
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(25),39.433 21.951 Degrees,3.8,4,6,39.429 21.954 Degrees,39.436 21.947 Degrees,25
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(26),39.447 21.957 Degrees,3.4,2,6,39.443 21.961 Degrees,39.451 21.954 Degrees,26
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(27),39.461 21.957 Degrees,4.0,4,6,39.458 21.961 Degrees,39.465 21.954 Degrees,27
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(28),39.382 21.964 Degrees,2.9,2,6,39.379 21.967 Degrees,39.386 21.961 Degrees,28
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(29),39.706 21.957 Degrees,3.8,3,6,39.702 21.961 Degrees,39.710 21.954 Degrees,29
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(30),39.684 21.964 Degrees,3.6,3,6,39.681 21.967 Degrees,39.688 21.961 Degrees,30
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(31),38.987 21.857 Degrees,2.9,2,6,38.984 21.860 Degrees,38.991 21.854 Degrees,31
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(32),38.994 21.857 Degrees,4.9,4,6,38.991 21.860 Degrees,38.998 21.854 Degrees,32
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(33),38.980 21.890 Degrees,5.0,5,6,38.977 21.894 Degrees,38.984 21.887 Degrees,33
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(34),38.994 21.851 Degrees,5.4,6,6,38.991 21.854 Degrees,38.998 21.847 Degrees,34
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(35),38.966 21.931 Degrees,1.0,1,6,38.962 21.934 Degrees,38.969 21.927 Degrees,35
