Location,Selector,Degree,Male Population,Female Population,Median Age (Male),Median Age (Female),Total Population,Population Density,Zoom Level,Top Left Degree,Bottom Right Degree,id
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(832),39.519 21.410 Degrees,Protected,Protected,Protected,Protected,79,Population Density: 123.40/sq km,6,39.515 21.413 Degrees,39.523 21.406 Degrees,832
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(833),39.440 21.410 Degrees,527,447,25,22,974,"Population Density: 1,521.90/sq km",6,39.436 21.413 Degrees,39.443 21.406 Degrees,833
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(834),39.512 21.436 Degrees,201,173,28,26,374,Population Density: 584.40/sq km,6,39.508 21.440 Degrees,39.515 21.433 Degrees,834
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(835),39.425 21.403 Degrees,736,565,27,24,"1,301","Population Density: 2,032.80/sq km",6,39.422 21.406 Degrees,39.429 21.399 Degrees,835
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(836),39.476 21.376 Degrees,Protected,Protected,Protected,Protected,41,Population Density: 64.10/sq km,6,39.472 21.379 Degrees,39.479 21.372 Degrees,836
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(837),39.504 21.436 Degrees,45,46,22,26,91,Population Density: 142.20/sq km,6,39.501 21.440 Degrees,39.508 21.433 Degrees,837
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(838),39.411 21.410 Degrees,267,233,28,19,500,Population Density: 781.30/sq km,6,39.408 21.413 Degrees,39.415 21.406 Degrees,838
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(839),39.418 21.450 Degrees,107,100,25,18,207,Population Density: 323.40/sq km,6,39.415 21.453 Degrees,39.422 21.446 Degrees,839
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(840),39.512 21.430 Degrees,398,242,29,25,640,"Population Density: 1,000.00/sq km",6,39.508 21.433 Degrees,39.515 21.426 Degrees,840
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(841),39.512 21.416 Degrees,Protected,Protected,Protected,Protected,306,Population Density: 478.10/sq km,6,39.508 21.419 Degrees,39.515 21.413 Degrees,841
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(842),39.433 21.389 Degrees,544,411,29,23,955,"Population Density: 1,492.20/sq km",6,39.429 21.393 Degrees,39.436 21.386 Degrees,842
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(843),39.540 21.450 Degrees,358,294,24,22,652,"Population Density: 1,018.80/sq km",6,39.537 21.453 Degrees,39.544 21.446 Degrees,843
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(844),39.411 21.396 Degrees,Protected,Protected,Protected,Protected,35,Population Density: 54.70/sq km,6,39.408 21.399 Degrees,39.415 21.393 Degrees,844
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(845),39.382 21.450 Degrees,282,228,25,22,510,Population Density: 796.90/sq km,6,39.379 21.453 Degrees,39.386 21.446 Degrees,845
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(846),39.389 21.436 Degrees,166,143,24,22,309,Population Density: 482.80/sq km,6,39.386 21.440 Degrees,39.393 21.433 Degrees,846
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(847),39.389 21.416 Degrees,35,31,28,17,66,Population Density: 103.10/sq km,6,39.386 21.419 Degrees,39.393 21.413 Degrees,847
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(848),39.411 21.423 Degrees,62,42,32,18,104,Population Density: 162.50/sq km,6,39.408 21.426 Degrees,39.415 21.419 Degrees,848
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(849),39.512 21.443 Degrees,60,58,28,16,118,Population Density: 184.40/sq km,6,39.508 21.446 Degrees,39.515 21.440 Degrees,849
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(850),39.497 21.416 Degrees,1002,636,32,25,"1,638","Population Density: 2,559.40/sq km",6,39.494 21.419 Degrees,39.501 21.413 Degrees,850
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(851),39.411 21.436 Degrees,187,82,30,23,269,Population Density: 420.30/sq km,6,39.408 21.440 Degrees,39.415 21.433 Degrees,851
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(852),39.490 21.416 Degrees,1486,1214,28,24,"2,700","Population Density: 4,218.80/sq km",6,39.487 21.419 Degrees,39.494 21.413 Degrees,852
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(853),39.468 21.416 Degrees,268,199,28,21,467,Population Density: 729.70/sq km,6,39.465 21.419 Degrees,39.472 21.413 Degrees,853
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(854),39.447 21.410 Degrees,1198,1029,26,22,"2,227","Population Density: 3,479.70/sq km",6,39.443 21.413 Degrees,39.451 21.406 Degrees,854
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(855),39.476 21.410 Degrees,1071,858,27,22,"1,929","Population Density: 3,014.10/sq km",6,39.472 21.413 Degrees,39.479 21.406 Degrees,855
